After School
Bikini Med School
Girls School Screamers
High School
High School High
High School U.S.A.
Satan's School for Girls
School Spirit
Ski School
Ski School 2
Stewardess School
Almost Summer
Bikini Summer
Bloody Summer Camp
Caesar and Otto's Summer Camp Massacre
Death To Summer
Hot Summer in Barefoot County
One Crazy Summer
Scream for Summer
Summer Camp Nightmare
Summer Job
Summer of Fear
All Cheerleaders Die
But I'm a Cheerleader
Flesh Gordon Meets the Cosmic Cheerleaders
Revenge of the Cheerleaders
The Cheerleaders
