eve of destruction
nightshade
planet earth
bug buster
space milkshake
finishing the game
amanda and the alien
virtual kombat
Arena (1989)
For Christ's Sake
Death Wish 3
Finders keepers
Calendar Girl Murders
Dead Heat
Get Crazy
Munchies
Dracula 2000
Infested
Fag Hag
Arachnoquake
Friday the 13th (2009)
The Midnight Hour
Monster Force Zero
Faust
CastleFreak
Motovational Growth
Robot Jox
Ticks
Sushi Girl
Lifeforce
The Cold Equations
Black Day Blue Night
Arcade
Deep Red
Mac and Me
Sonny Boy
Eliminators
Itsybitsy
High Strung
rocket man
