Alligator II: The Mutation
Arrival II
Barbarian Queen II: The Empress Strikes Back
Bloodstone: Subspecies II
Breach of Faith: A Family of Cops II
C.H.U.D. II: Bud the Chud
Cannonball Run II
Captain America II: Death Too Soon
Class of Nuke 'Em High Part II: Subhumanoid Meltdown
Death Wish II
Decadent Evil II
Frogtown II
Genesis II
Grizzly II: The Predator
Hellbound: Hellraiser II
Hellcat's Revenge II: Deadman's Hand
Highlander II: The Quickening
Hollywood High Part II
House II: The Second Story
It Came from Outer Space II
L.A. Crackdown II
Not Quite Human II
Phantasm II
Plughead Rewired: Circuitry Man II
Possessed II
Prom Night II
Pumpkinhead II: Blood Wings
Puppet Master II
Revenge of the Nerds II: Nerds in Paradise
Scanner Cop II
Slumber Party Massacre II
Species II
Star Worms II: Attack of the Pleasure Pods
Surf II
The NeverEnding Story II: The Next Chapter
The Twins Effect II
Tiger Claws II
Titanic II
Trancers II
Treasure Chest of Horrors II
Xtro II: The Second Encounter
Bad Ass 2: Bad Asses
Beach Babes 2: Cave Girl Island
Bloody Nun 2: The Curse
Breakin' 2: Electric Boogaloo
Christmas Vacation 2: Cousin Eddie's Island Adventure
Crocodile 2: Death Swamp
Cyborg 2: Glass Shadow
paul blart mall cop 2
Easy Rider 2: The Ride Back
Dogman 2: The Wrath of the Litter
Evil Bong 2: King Bong
FP2: Beats of Rage
From Dusk Till Dawn 2: Texas Blood Money
Gate 2: The Trespassers
Ginger Snaps 2: Unleashed
Jack Frost 2: Revenge of the Mutant Killer Snowman
Jurassic Shark 2: Aquapocalypse
Mother Krampus 2: Slay Ride
Nemesis 2: Nebula
Road House 2: Last Call
Showgirls 2: Penny's from Heaven
Snow 2: Brain Freeze
Starship Troopers 2: Hero of the Federation
Terminator 2: Shocking Dark
Turbulence 2: Fear of Flying
Water 2: The Cleansing
