12 slays of christmas
revealer
ace and the christmas miracle
gingerdead man
jesus christ vampire hunter
santa with muscles
santa's slay
secret santa 
soul santa
uncle nick
a wrestling christmas miracle 
elves
two front teeth
stone age sirens
the velvet vampire
youth
fugley
lady frankenstein
christmas freak
christmas bounty
mother krampus
christy santa's first female reindeer
christmas vacation 2
jack frost 2
black christas
santa claws
a karate christmas miracle
silent night deadly night 2
christmas evil
twas the night
christmas twister
mother krampus 2
click & collect
John 3:16
Nativity 3
axemas
so you've downloaded a demon
REPLIGATOR
sorority babes in the slimeball bowl-o-rama
thanatomorphose
a very very sexy snuff movie
warrioress
Killer Barbys vs. Dracula
Hard Ticket to Hawaii
Cannibal Women in the Avocado Jungle of Death
Bad Johnson
Teenage Catgirls in Heat
live nude girls
do or die
day of the warrior
L.E.T.H.A.L. Ladies: Return to Savage Beach
